out_msg=[src=11, dest=0, size=5, addr=168640, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=277824, type=GETX, fixed=None]: delay=54
out_msg=[src=0, dest=53, size=2, addr=277824, type=GETX, fixed=None]: in_msg=[src=53, dest=63, size=2, addr=277824, type=GETS, fixed=des]: delay=4
out_msg=[src=53, dest=63, size=2, addr=277824, type=GETS, fixed=des]: in_msg=[src=63, dest=53, size=5, addr=277824, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=53, size=5, addr=277824, type=MEMORY_DATA, fixed=src]: in_msg=[src=53, dest=0, size=5, addr=277824, type=DATA, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=277824, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=277824, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=277824, type=DATA, fixed=None]: in_msg=[src=0, dest=12, size=2, addr=168704, type=GET_INSTR, fixed=None]: delay=8
out_msg=[src=0, dest=12, size=2, addr=168704, type=GET_INSTR, fixed=None]: in_msg=[src=12, dest=7, size=2, addr=168704, type=GETS, fixed=des]: delay=4
out_msg=[src=12, dest=7, size=2, addr=168704, type=GETS, fixed=des]: in_msg=[src=7, dest=12, size=5, addr=168704, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=12, size=5, addr=168704, type=MEMORY_DATA, fixed=src]: in_msg=[src=12, dest=0, size=5, addr=168704, type=DATA, fixed=None]: delay=3
out_msg=[src=12, dest=0, size=5, addr=168704, type=DATA, fixed=None]: in_msg=[src=0, dest=13, size=2, addr=168768, type=GET_INSTR, fixed=None]: delay=54
out_msg=[src=0, dest=13, size=2, addr=168768, type=GET_INSTR, fixed=None]: in_msg=[src=13, dest=7, size=2, addr=168768, type=GETS, fixed=des]: delay=4
out_msg=[src=13, dest=7, size=2, addr=168768, type=GETS, fixed=des]: in_msg=[src=7, dest=13, size=5, addr=168768, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=13, size=5, addr=168768, type=MEMORY_DATA, fixed=src]: in_msg=[src=13, dest=0, size=5, addr=168768, type=DATA, fixed=None]: delay=3
out_msg=[src=13, dest=0, size=5, addr=168768, type=DATA, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=36160, type=GETS, fixed=None]: delay=6
out_msg=[src=0, dest=53, size=2, addr=36160, type=GETS, fixed=None]: in_msg=[src=53, dest=63, size=2, addr=36160, type=GETS, fixed=des]: delay=4
out_msg=[src=53, dest=63, size=2, addr=36160, type=GETS, fixed=des]: in_msg=[src=63, dest=53, size=5, addr=36160, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=53, size=5, addr=36160, type=MEMORY_DATA, fixed=src]: in_msg=[src=53, dest=0, size=5, addr=36160, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=36160, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=53, size=2, addr=36160, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=53, dest=0, size=5, addr=36160, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=24, size=2, addr=259584, type=GETX, fixed=None]: delay=26
